metric,baseline,model,delta
Top-10,0.1278353612171985,0.13403825823824353,0.00620289702104504
Top-50,0.37073390340238155,0.3822686432085683,0.011534739806186745
Top-100,0.513819713382582,0.5312877628020002,0.017468049419418152
Top-1%,0.24676478687277834,0.2525913168604952,0.00582652998771685
